method,f1,precision,recall
CLRNet,59.55667981478307,59.02022433718559,60.10297680858429
CLRNet + Frequency Gate,59.65086206896552,59.425455170044664,59.87798546209761
CLRNet + Directional Attention,59.81815831430172,59.57428546905845,60.06403599861544
CLRNet-FGM,59.70213591395995,59.48035215804166,59.92557978539287
