method,f1,precision,recall,model_mb,fps,latency_ms
CLRNet,59.55667981478307,59.02022433718559,60.10297680858429,--,--,--
CLRNet-FGM,59.70213591395995,59.48035215804166,59.92557978539287,--,--,--
