model,train_epoch,train_loss,eval_epoch,eval_f1
CLRNet-FGM,4,1.2239,22.0,59.10793473113187
CLRNet-FGM,4,1.2029,23.0,59.33786261188396
CLRNet-FGM,4,1.2278,24.0,59.27775147419618
CLRNet-FGM,5,1.2266,,
CLRNet-FGM,5,1.2048,,
CLRNet-FGM,5,1.1996,,
CLRNet-FGM,5,1.1731,,
CLRNet-FGM,5,1.2104,,
CLRNet-FGM,6,1.2104,,
CLRNet-FGM,6,1.1414,,
CLRNet-FGM,6,1.1574,,
CLRNet-FGM,6,1.1484,,
CLRNet-FGM,6,1.1464,,
CLRNet-FGM,7,1.1357,,
CLRNet-FGM,7,1.144,,
CLRNet-FGM,7,1.1363,,
CLRNet-FGM,7,1.1214,,
CLRNet-FGM,7,1.1355,,
CLRNet-FGM,8,1.1286,,
CLRNet-FGM,8,1.1234,,
CLRNet-FGM,8,1.0975,,
CLRNet-FGM,8,1.1019,,
CLRNet-FGM,8,1.1386,,
CLRNet-FGM,9,1.1431,,
CLRNet-FGM,9,1.0694,,
CLRNet-FGM,9,1.0879,,
CLRNet-FGM,9,1.0678,,
CLRNet-FGM,9,1.0577,,
CLRNet-FGM,10,1.0606,,
CLRNet-FGM,10,1.0957,,
CLRNet-FGM,10,1.0292,,
CLRNet-FGM,10,1.0669,,
CLRNet-FGM,10,1.0422,,
CLRNet-FGM,11,1.0402,,
CLRNet-FGM,11,1.0056,,
CLRNet-FGM,11,1.0012,,
CLRNet-FGM,11,1.0301,,
CLRNet-FGM,11,1.0321,,
CLRNet-FGM,12,1.0285,,
CLRNet-FGM,12,1.003,,
CLRNet-FGM,12,1.0175,,
CLRNet-FGM,12,0.9559,,
CLRNet-FGM,12,1.0131,,
CLRNet-FGM,13,1.0112,,
CLRNet-FGM,13,0.9591,,
CLRNet-FGM,13,0.9951,,
CLRNet-FGM,13,0.9943,,
CLRNet-FGM,13,1.0025,,
CLRNet-FGM,14,0.9931,,
CLRNet-FGM,14,0.9232,,
CLRNet-FGM,14,0.9215,,
CLRNet-FGM,14,0.9853,,
CLRNet-FGM,14,0.9915,,
CLRNet-FGM,15,0.9862,,
CLRNet-FGM,15,0.9039,,
CLRNet-FGM,15,0.9205,,
CLRNet-FGM,15,0.9003,,
CLRNet-FGM,15,0.9089,,
CLRNet-FGM,16,0.9109,,
CLRNet-FGM,16,0.8567,,
CLRNet-FGM,16,0.8624,,
CLRNet-FGM,16,0.8976,,
CLRNet-FGM,16,0.8894,,
CLRNet-FGM,17,0.8839,,
CLRNet-FGM,17,0.8654,,
CLRNet-FGM,17,0.8475,,
CLRNet-FGM,17,0.8696,,
CLRNet-FGM,17,0.8599,,
CLRNet-FGM,18,0.8624,,
CLRNet-FGM,18,0.8499,,
CLRNet-FGM,18,0.8412,,
CLRNet-FGM,18,0.8482,,
CLRNet-FGM,18,0.8597,,
CLRNet-FGM,19,0.8617,,
CLRNet-FGM,19,0.8412,,
CLRNet-FGM,19,0.8514,,
CLRNet-FGM,19,0.8204,,
CLRNet-FGM,19,0.8131,,
CLRNet-FGM,20,0.8042,,
CLRNet-FGM,20,0.8398,,
CLRNet-FGM,20,0.8077,,
CLRNet-FGM,20,0.8148,,
CLRNet-FGM,20,0.7954,,
CLRNet-FGM,21,0.7862,,
CLRNet-FGM,21,0.8104,,
CLRNet-FGM,21,0.8126,,
CLRNet-FGM,21,0.7759,,
CLRNet-FGM,21,0.7965,,
CLRNet-FGM,22,0.7959,,
CLRNet-FGM,22,0.8016,,
CLRNet-FGM,22,0.8205,,
CLRNet-FGM,22,0.8334,,
CLRNet-FGM,22,0.8212,,
CLRNet-FGM,23,0.813,,
CLRNet-FGM,23,0.7982,,
CLRNet-FGM,23,0.802,,
CLRNet-FGM,23,0.765,,
CLRNet-FGM,23,0.8155,,
CLRNet-FGM,24,0.8154,,
CLRNet-FGM,24,0.761,,
CLRNet-FGM,24,0.7752,,
CLRNet-FGM,24,0.774,,
CLRNet-FGM,24,0.7792,,
